"","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld"
"(Intercept)",0.374719023704529,0.487428247928619,-0.599874082348588,0.380695699849386,1.31533665940347,0.392582714557648,7.02264783615004e-07
"arrests_B",-0.00188432110007852,0.000897943857125938,-0.00365442466820197,-0.0018823539943761,-0.00012679358574244,-0.00187833327800035,6.81603556783642e-07
"arrests_W",0.00950599834322929,0.000985154998488724,0.00758057803158287,0.00950249862865972,0.0114490793988884,0.00949555449187756,1.1687714838318e-06
"poverty",0.0478463731706142,0.00776655459776521,0.0326168489315999,0.0478357976105192,0.0631198761201331,0.0478152595460415,2.3053268087222e-07
"male",-0.0833835229277611,0.0144681800156832,-0.111937503968792,-0.0833396972317685,-0.0550981288975948,-0.0832506120204926,3.52452305925094e-07
"educHSless",0.100672729313374,0.0128169897943735,0.0756575978068815,0.100615822921081,0.125981244472279,0.100502692162991,2.10734672888909e-06
"educBachPlus",0.0699598118662834,0.00920282583683729,0.0520044997188862,0.0699169881059016,0.0881367212430167,0.0698318481445312,2.26789254567281e-06
