"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrests_B_total","arrests_W_total","arrests_total_all","pct_arrests_ct_white","pct_arrests_ct_black","pct_arrests_total","tot_SIR","black_SIR","white_SIR","e_tot","e_white","e_black","outcomes","blk_outcomes","wht_outcomes"
"1",10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,0.582026537997587,0.417973462002413,1,84.3065693430657,45.6049149338374,52.5848398350777,15.390631416376,4.02831644719814,38.5897653653906,107.727873869804,17.9581294013651,239.554169253808,-2.72677040100098,-3.77952098846436,-1.74211323261261
"2",10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,0.52912019826518,0.467162329615861,1,121.027287319422,43.3502538071066,58.7122590032739,17.1840161684664,3.82916053356811,55.3979916020668,93.9244926318083,13.6106017239056,223.025384418715,0.951444447040558,1.41991198062897,0.781203806400299
"3",10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,0.518862090290662,0.477427334570192,1,137.611408199644,37.0746796288113,56.2043795620438,16.4500052208676,3.27483434493878,62.9890647360568,98.2978411428565,12.2560956133404,256.196164943935,0.268996119499207,0.505962133407593,0.163807958364487
"4",10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,0.517193947730399,0.482118294360385,1,110.220125786164,41.8941504178273,59.0576766856214,17.2851136758542,3.7005418256862,50.4512142502657,84.1186252671925,13.8946110696693,203.213484787611,0.070095606148243,0.801761269569397,0.0025772568769753
"5",10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,0.538066723695466,0.461077844311377,1,95.2296819787986,38.660110633067,52.8481012658228,15.4676832750382,3.41487665835186,43.5896171795166,75.5769289565515,12.3653299770956,184.194061141751,2.58839797973633,2.78561496734619,2.28240942955017
"6",10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,0.495229835212489,0.497831743278404,1,67.9289940828402,44.679186228482,53.3549282739472,15.6160223723592,3.94654613417734,31.0932346505145,73.8344229091807,18.4606074746393,144.683472734578,-1.16574692726135,-0.959124982357025,-1.00282263755798
"7",10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,0.529277566539924,0.467680608365019,1,69.7278911564626,55.2819698173153,58.5746102449889,17.1437288668348,4.88309798563775,31.9166463553021,76.7044328695561,19.2689417664282,142.532466488915,1.4868323802948,2.25353646278381,1.20479691028595
"8",10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,0.540740740740741,0.4559670781893,1,61.1479028697572,53.6326530612245,53.976010661928,15.797801952607,4.7374125957003,27.989316167373,76.9094335810115,19.7932667124535,138.683297417729,0.0463796555995941,0.399080038070679,0.09163748472929
"9",10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,0.475,0.518478260869565,1,50.5832449628844,36.9712351945854,40.5822673136303,11.8776955530116,3.26569702023666,23.1535403438681,77.4561021448925,20.6016010042424,133.815230651229,-0.0603109821677208,-0.0317734181880951,-0.1040029078722
"10",10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,0.544615384615385,0.452307692307692,1,10.6060606060606,9.33052187664734,9.87841945288754,2.89123468384766,0.824172017230376,4.85472713963132,112.408723448035,30.2797656329586,214.760992001169,0.689379692077637,0.691785216331482,0.68879497051239
"11",10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,0.697435897435897,0.302564102564103,1,7.33374766935985,14.9862258953168,11.3372093023256,3.31819608483447,1.32374460829745,3.35688670544693,117.53374123442,35.1516182564433,205.477701888309,-0.290512055158615,-0.345665246248245,-0.534507989883423
"12",10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,0.715210355987055,0.284789644012945,1,5.50688360450563,11.5828092243187,8.75354107648725,2.56200313091861,1.02311825317015,2.5206736301608,120.608751906251,34.9113026561817,216.006311406552,-0.0565816983580589,-0.423266172409058,-0.111179769039154
"13",10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,0.572784810126582,0.427215189873418,1,8.49056603773585,9.19715447154472,8.80959018678561,2.57840769163465,0.812391573998009,3.88639881528438,122.556258665077,34.7365276741733,222.798962708645,1.60619926452637,2.05414748191833,0.989561378955841
"14",10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,0.629080118694362,0.370919881305638,1,7.44934445768772,11.4967462039046,9.11057042443904,2.66649916278613,1.01551624182702,3.40979898705589,126.382938612244,36.6590524762659,208.76081668432,-0.0912632420659065,0.333084970712662,-0.41453030705452
"15",10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744,0.646825396825397,0.349206349206349,1,5.24433849821216,8.73526259378349,6.80529300567108,1.99178616230866,0.77159231692863,2.40049848688734,126.519605753214,36.6590524762659,211.251455495087,-0.214069172739983,-0.455260723829269,-0.0228903312236071
"16",10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295,0.587257617728532,0.409972299168975,1,7.43345052737318,14.7426981919332,9.90669593852909,2.89951069970365,1.30223362303826,3.40252383582685,124.503765423903,43.4971236473453,162.797209540159,1.40845632553101,1.80656111240387,1.13063430786133
"17",10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,0.560402684563758,0.439597315436242,1,6.56641604010025,12.5469571750563,8.27088537330003,2.42073853731969,1.10828216704048,3.00565491222717,123.102927228958,43.5845111383495,150.683648051426,1.49433386325836,2.02017021179199,1.14343535900116
