"","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld"
"(Intercept)",-0.0621726252138615,0.473583519458771,-1.01810498398206,-0.0530606139519518,0.84248925438556,-0.0349755883216858,6.41741687784549e-07
"arrests_total",0.0114537216722965,0.000869803829118609,0.00975670486519822,0.0114496056761267,0.0131720434235528,0.0114414254203439,1.26288076841683e-06
"arrests_B",-0.0158432591706514,0.00153371982742101,-0.0188757568553647,-0.0158367929826112,-0.0128493913039688,-0.015823720023036,1.11929118794745e-06
"poverty",0.0376312248408794,0.00691111013293266,0.0240894283626986,0.0376179472502299,0.0512334259980377,0.0375919751822948,2.01665958226221e-07
"male",-0.0697296634316444,0.0130754299461842,-0.0955525466100467,-0.0696845151134264,-0.0441801461849093,-0.069593071937561,3.5735091362762e-07
"educHSless",0.0924848690629005,0.0115422736853361,0.0700082150553693,0.0924164867129037,0.115321286234513,0.0922803580760956,2.31915065600425e-06
"educBachPlus",0.0663070231676102,0.00833013653755188,0.0500965761620538,0.066254092546946,0.0827970221214517,0.0661487355828285,2.44693861563224e-06
