"","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld"
"(Intercept)",-0.908044815063477,0.625019907951355,-2.19354103679907,-0.887618184474091,0.261194342350451,-0.84738302230835,3.26057312358271e-06
"arrests_total",0.00126421160530299,0.000981647521257401,-0.000677141925057122,0.00126842018248615,0.00318043791019115,0.00127692311070859,1.52656632802035e-06
"arrests_W",0.00565704796463251,0.00191733578685671,0.00192386488814143,0.00564532709664345,0.00945204676274466,0.00562196783721447,2.59198184294584e-06
"poverty",0.0605971738696098,0.00861599668860435,0.0437381034612266,0.0605722592187192,0.0775778171992138,0.0605230741202831,3.28626357185805e-07
"male",-0.0719972774386406,0.0165986716747284,-0.104771607230078,-0.071943464121347,-0.0395505084328,-0.0718340426683426,3.62655872421052e-07
"educHSless",0.091995894908905,0.0146314091980457,0.0636097447109949,0.0918737652047552,0.12104822004629,0.0916302427649498,4.12380215129214e-06
"educBachPlus",0.056067667901516,0.0105613954365253,0.0355603685134394,0.0559851296849226,0.0770218581392059,0.0558210350573063,3.2210004682103e-06
